# Mastodon Spam IP Ranges
# Curated by troet.cafe & muenchen.social (since 2026-03)
#
# IP ranges and networks repeatedly used for spam registrations
# on Mastodon instances.
#
# Format: CIDR notation, comments with #
# Sorted: by frequency (descending)

# Hosting / Datacenter (most frequent spam sources)
165.101.52.0/24    # 26 spam accounts — Hosting
165.101.53.0/24    # same provider
103.178.30.0/24    # 22 spam — Hosting (AS)
202.94.164.0/24    # 18 spam — Hosting
160.250.40.0/24    # 12 spam — Hosting
107.175.115.0/24   # 10 spam — Hosting
103.96.104.0/24    # 10 spam — Hosting
103.96.105.0/24    # same provider
103.67.64.0/24     # 10 spam — Hosting
103.67.65.0/24     # same provider
185.253.97.0/24    # 8 spam — Hosting
23.106.56.0/24     # 8 spam — Hosting
104.223.81.0/24    # 6 spam — Hosting
104.223.111.0/24   # same provider
103.152.147.0/24   # 6 spam — Hosting
169.150.196.0/24   # 6 spam — Hosting
23.94.95.0/24      # Hosting
169.197.85.0/24    # Hosting
118.179.44.0/24    # Hosting
103.253.177.0/24   # Hosting
154.3.33.0/24      # Hosting (HK)
112.120.48.0/24    # Hosting (HK)
130.195.212.0/24   # Hosting
223.204.126.0/24   # Hosting (TH)

# VPN providers (spam abuse)
146.70.103.0/24    # 16 spam — Mullvad VPN
146.70.108.0/24    # 14 spam — Mullvad VPN
37.120.203.0/24    # 8 spam — M247 VPN/Hosting
155.94.249.0/24    # VPN/Hosting

# Tor exit nodes
185.220.101.0/24   # Tor exit nodes — propaganda bots

# Individual IPs (manually blocked on troet.cafe)
27.124.19.58/32    # spam registration
42.112.181.1/32    # spam registration
89.169.36.109/32   # spam registration
117.217.218.77/32  # spam registration
121.169.46.116/32  # spam registration
161.35.31.237/32   # spam registration — DigitalOcean
174.138.61.184/32  # spam registration — DigitalOcean
176.72.93.130/32   # spam registration
182.160.109.166/32 # spam registration
186.26.95.249/32   # spam registration
193.233.254.7/32   # spam registration
194.163.167.32/32  # spam registration — Contabo

# IPv6
2a03:90c0:23::/48  # 12 spam — VPN/Hosting
2605:6440::/32     # 6 spam — Hosting
